,TIME,ENC1,LOAD,EXTS,DISP_STRAIN,EXTS_STRAIN,STRESS,PRED
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,336000.0,27.691,1856.27,13.25345,0.2264371575762531,0.530138,48.04491017964072,0.530138
mean,110791.77215189874,8.934522536493896,1266.1759007874614,1.8423722315864306,0.07306890081322608,0.07369488926345717,32.42646351940358,0.07369488926345717
