,TIME,ENC1,LOAD,EXTS,DISP_STRAIN,EXTS_STRAIN,STRESS,PRED
min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
max,336000.0,27.691,2061.012518499328,13.25345,0.267689885871704,0.530138,54.24203459342863,0.530138
mean,78390.47953332067,6.341483765279469,949.4556666514384,1.2225942319485041,0.05783397775625234,0.043540069071144216,24.362823078605857,0.043540069071144216
