,TIME,DISP,LOAD,EXTS,DISP_STRAIN,EXTS_STRAIN,STRESS
min,0.0,0.0,-195.281493847296,0.0,0.0,-0.0388141136842105,-5.197803935248762
max,300800.0,25.1037093956715,2061.012518499328,25.1037093956715,0.4404159543100263,0.0793135607017543,54.24203459342863
mean,49052.49991596988,4.084957346927368,775.8595893720136,4.084957346927368,0.07166591836714675,0.017294629369963736,20.72682334103811
